Age_ka,Depth_top_m,Depth_bottom_m,Ca_ppb,Age_b2k,CV_Ca,eta
15.61,1627.74,0.226,214.99,15610.0,0.18913707359062332,1.0715330251040596
15.63,1628.16,0.226,244.67,15630.0,0.19263019724685787,1.0774713353196583
15.65,1628.56,0.226,219.36,15650.0,0.1908558903941469,1.0744550136700497
15.67,1628.98,0.227,175.58,15670.0,0.18998066539018693,1.0729671311633178
15.69,1629.41,0.228,178.46,15690.0,0.19059138968529737,1.0740053624650057
15.71,1629.81,0.23,198.69,15710.0,0.1903456538007282,1.073587611461238
15.73,1630.21,0.231,271.9,15730.0,0.18779676356325167,1.0692544980575278
15.75,1630.6,0.231,190.19,15750.0,0.19219852778677365,1.0767374972375152
15.77,1631.06,0.231,195.78,15770.0,0.1906723524355618,1.074142999140455
15.79,1631.51,0.233,188.85,15790.0,0.191901477545586,1.0762325118274962
15.81,1631.99,0.234,224.32,15810.0,0.19565975206587494,1.0826215785119873
15.83,1632.52,0.234,158.79,15830.0,0.197073469597903,1.0850248983164352
15.85,1632.96,0.235,242.99,15850.0,0.20105285549313426,1.0917898543383282
15.87,1633.38,0.235,245.55,15870.0,0.2017279994872192,1.0929375991282726
15.89,1633.83,0.237,188.06,15890.0,0.20112512032132288,1.091912704546249
15.91,1634.32,0.237,196.44,15910.0,0.19975060139301004,1.089576022368117
15.93,1634.76,0.24,271.87,15930.0,0.20235009506595125,1.093995161612117
15.95,1635.26,0.241,285.79,15950.0,0.19769480104932463,1.086081161783852
15.97,1635.7,0.243,247.22,15970.0,0.19612822033765206,1.0834179745740085
15.99,1636.21,0.245,212.62,15990.0,0.19479822735107624,1.0811569864968296
16.01,1636.66,0.246,267.22,16010.000000000002,0.19323525159878144,1.0784999277179284
16.03,1637.12,0.247,264.61,16030.000000000002,0.1925825486856562,1.0773903327656156
16.05,1637.54,0.248,315.96,16050.0,0.19111247480200902,1.0748912071634154
16.07,1637.99,0.249,261.51,16070.0,0.19299928706852643,1.078098788016495
16.09,1638.43,0.25,269.62,16090.0,0.19089621562541434,1.0745235665632045
16.11,1638.85,0.252,292.57,16110.0,0.18688671074488275,1.0677074082663007
16.13,1639.3,0.254,313.92,16129.999999999998,0.18496113125109456,1.0644339231268607
16.15,1639.76,0.254,295.54,16149.999999999998,0.18397817060965463,1.0627628900364128
16.19,1640.66,0.255,238.34,16190.000000000002,0.18067544761724674,1.0571482609493195
16.21,1641.06,0.257,218.47,16210.0,0.17562143907521433,1.0485564464278643
16.23,1641.51,0.257,297.71,16230.0,0.1710512360590676,1.0407871013004149
16.25,1641.94,0.259,217.19,16250.0,0.16959709845625756,1.0383150673756378
16.27,1642.37,0.26,211.14,16270.0,0.16991162494747492,1.0388497624107074
16.29,1642.79,0.261,254.25,16290.0,0.16867052384621165,1.0367398905385599
16.31,1643.27,0.262,221.05,16309.999999999998,0.16585530336159054,1.031954015714704
16.33,1643.76,0.264,242.72,16329.999999999998,0.16139559886953875,1.024372518078216
16.35,1644.22,0.265,306.67,16350.000000000002,0.16054638066904986,1.0229288471373847
16.37,1644.71,0.265,231.45,16370.000000000002,0.163759869569101,1.0283917782674716
16.39,1645.15,0.266,269.5,16390.0,0.15928351776123037,1.0207819801940916
16.41,1645.64,0.267,299.69,16410.0,0.15521684184318782,1.0138686311334193
16.43,1646.11,0.268,276.64,16430.0,0.14995642835773268,1.0049259282081455
16.45,1646.55,0.269,307.61,16450.0,0.14816427063982704,1.001879260087706
16.47,1646.99,0.269,203.15,16470.0,0.13779454936703375,0.9842507339239573
16.49,1647.48,0.272,240.11,16490.0,0.13746232620208262,0.9836859545435405
16.51,1647.9,0.272,271.68,16510.0,0.13676595022689045,0.9825021153857137
16.53,1648.3,0.273,340.23,16530.0,0.13164862949080897,0.9738026701343753
16.55,1648.75,0.273,287.82,16550.0,0.1267549939819114,0.9654834897692494
16.57,1649.2,0.275,289.08,16570.0,0.12822091829483484,0.9679755611012192
16.59,1649.73,0.277,290.93,16590.0,0.13375600725658035,0.9773852123361866
16.61,1650.24,0.278,235.35,16610.0,0.1329882723926367,0.9760800630674824
16.63,1650.75,0.279,274.69,16630.0,0.13030057250255703,0.971510973254347
16.65,1651.2,0.28,298.18,16650.0,0.13076599495867197,0.9723021914297423
16.67,1651.66,0.281,317.99,16670.0,0.13104122958700873,0.9727700902979148
16.69,1652.1,0.282,222.47,16690.0,0.13516800064242368,0.9797856010921202
16.71,1652.56,0.283,318.23,16710.0,0.14067051392744345,0.9891398736766539
16.73,1653.03,0.284,321.08,16730.0,0.14052909016837217,0.9888994532862327
16.75,1653.52,0.285,261.34,16750.0,0.14208651516432785,0.9915470757793574
16.77,1653.96,0.287,257.21,16770.0,0.14867192248761268,1.0027422682289415
16.79,1654.49,0.288,265.91,16790.0,0.15808686679784112,1.01874767355633
16.81,1654.97,0.29,207.02,16810.0,0.16512119659341964,1.0307060342088135
16.83,1655.41,0.292,249.3,16830.0,0.16168378175579357,1.0248624289848491
16.85,1655.84,0.293,285.95,16850.0,0.16419837061091574,1.0291372300385568
16.87,1656.28,0.294,271.98,16870.0,0.16050460899849353,1.022857835297439
16.89,1656.66,0.295,325.07,16890.0,0.15630085202200097,1.0157114484374017
16.91,1657.11,0.296,304.97,16910.0,0.15539059192494853,1.0141640062724124
16.93,1657.54,0.298,325.93,16930.0,0.15237953387644212,1.0090452075899516
16.95,1658.02,0.299,333.87,16950.0,0.15374832111134135,1.0113721458892804
16.97,1658.5,0.3,252.29,16970.0,0.15515184489987854,1.0137581363297934
16.99,1658.94,0.301,285.05,16990.0,0.15277561276622093,1.0097185417025756
17.01,1659.44,0.303,278.33,17010.0,0.15601297975026512,1.0152220655754507
17.03,1659.92,0.306,266.99,17030.0,0.15854520526248658,1.0195268489462272
17.05,1660.37,0.306,255.3,17050.0,0.16715310340653153,1.0341602757911037
17.07,1660.89,0.308,297.55,17070.0,0.17462450198533117,1.046861653375063
17.09,1661.36,0.309,278.03,17090.0,0.17082990816007598,1.0404108438721291
17.11,1661.88,0.31,235.65,17110.0,0.17702726272564337,1.0509463466335938
17.13,1662.31,0.31,249.35,17130.0,0.18318632946333294,1.061416760087666
17.15,1662.8,0.312,317.23,17150.0,0.18803525610993418,1.069659935386888
17.17,1663.28,0.313,358.43,17170.0,0.19970452178649378,1.0894976870370394
17.19,1663.78,0.313,270.82,17190.0,0.21119937625780602,1.1090389396382703
17.21,1664.18,0.315,315.0,17210.0,0.21526736326150758,1.1159545175445629
17.23,1664.59,0.316,253.3,17230.0,0.2144134126450463,1.1145028014965788
17.25,1665.04,0.317,256.23,17250.0,0.21724329653756835,1.1193136041138663
17.27,1665.49,0.318,359.59,17270.0,0.21829140978538744,1.1210953966351587
17.29,1665.89,0.321,368.08,17290.0,0.22115646657997376,1.1259659931859554
17.31,1666.33,0.322,281.76,17310.0,0.220478172153319,1.1248128926606422
17.33,1666.86,0.323,329.81,17330.0,0.22289345919538436,1.1289188806321535
17.35,1667.31,0.325,383.91,17350.0,0.22232582018558256,1.1279538943154903
17.37,1667.78,0.328,404.28,17370.0,0.22211929330107763,1.127602798611832
17.39,1668.19,0.328,406.96,17390.0,0.2221823213346397,1.1277099462688875
17.41,1668.65,0.329,296.5,17410.0,0.22207348053444909,1.1275249169085635
17.43,1669.09,0.33,357.25,17430.0,0.2198124660061998,1.1236811922105396
17.45,1669.55,0.331,285.89,17450.0,0.2237383250634691,1.1303551526078974
17.47,1669.95,0.332,318.73,17470.0,0.22511137309125293,1.1326893342551299
17.49,1670.38,0.333,277.32,17490.0,0.22808388585019965,1.1377426059453395
17.51,1670.8,0.333,263.9,17510.0,0.22993180894520276,1.1408840752068448
17.53,1671.2,0.333,225.88,17530.0,0.23501340224396575,1.1495227838147417
17.55,1671.65,0.334,248.99,17550.0,0.2348028724560526,1.1491648831752894
17.57,1672.12,0.335,272.96,17570.0,0.23328659078895783,1.1465872043412282
17.59,1672.61,0.336,220.64,17590.0,0.2340324011852854,1.147855082014985
17.61,1673.08,0.337,232.61,17610.0,0.23467029060238398,1.1489394940240527
17.63,1673.63,0.338,175.68,17630.0,0.23573264179764583,1.1507454910559978
17.65,1674.11,0.338,181.17,17650.0,0.23643881284497664,1.1519459818364604
17.67,1674.49,0.34,251.53,17670.0,0.23984057724559146,1.1577289813175056
17.69,1674.92,0.341,177.91,17690.0,0.23958358325602128,1.1572920915352363
17.71,1675.35,0.342,187.11,17710.0,0.24514770751362142,1.1667511027731563
17.73,1675.8,0.343,186.41,17730.0,0.24473236432109668,1.1660450193458645
17.75,1676.27,0.343,144.09,17750.0,0.2458325545200574,1.1679153426840976
17.77,1676.8,0.345,140.99,17770.0,0.24985742808036704,1.174757627736624
17.79,1677.31,0.346,198.34,17790.0,0.2491021158707051,1.1734735969801986
17.81,1677.78,0.346,255.41,17810.0,0.25554740017618566,1.1844305802995156
17.83,1678.2,0.347,211.33,17830.0,0.256806459965219,1.1865709819408723
17.85,1678.67,0.347,238.58,17850.0,0.26247916475887995,1.1962145800900958
17.87,1679.16,0.348,202.32,17870.0,0.2635400989373901,1.198018168193563
17.89,1679.64,0.349,334.2,17890.0,0.26514830577705734,1.2007521198209974
17.91,1680.05,0.35,207.76,17910.0,0.2650572706512795,1.200597360107175
17.93,1680.47,0.351,264.38,17930.0,0.2670438896681274,1.2039746124358166
17.95,1680.96,0.351,275.37,17950.0,0.26542637011828957,1.2012248292010923
17.97,1681.39,0.351,311.4,17970.0,0.256570394680219,1.1861696709563723
17.99,1681.82,0.351,294.44,17990.0,0.2411921716986119,1.1600266918876403
18.01,1682.25,0.353,244.69,18010.0,0.22174676682779162,1.1269695036072458
18.03,1682.64,0.354,189.96,18030.0,0.2209321486538098,1.1255846527114768
18.07,1683.57,0.356,231.6,18070.0,0.20764566575455154,1.1029976317827377
18.09,1684.07,0.356,205.55,18090.0,0.20468623201158267,1.0979665944196906
18.11,1684.55,0.357,207.06,18110.0,0.1967378620367303,1.0844543654624414
18.13,1685.06,0.358,176.66,18130.0,0.19390312357122855,1.0796353100710885
18.15,1685.55,0.358,234.77,18150.0,0.19431948938782836,1.0803431319593082
18.17,1686.04,0.358,257.44,18170.0,0.1965160887802224,1.0840773509263781
18.19,1686.5,0.359,231.2,18190.0,0.19595676988220398,1.0831265087997468
18.21,1686.95,0.359,238.78,18210.0,0.19399932523586233,1.0797988529009659
18.23,1687.35,0.36,229.17,18230.0,0.19753504625108198,1.0858095786268394
18.25,1687.86,0.361,236.47,18250.0,0.19984040307320688,1.0897286852244517
18.27,1688.35,0.361,190.62,18270.0,0.19899309685481129,1.0882882646531793
18.29,1688.78,0.362,260.76,18290.0,0.20952005090568546,1.1061840865396653
18.31,1689.23,0.364,168.15,18310.0,0.2085860512143675,1.1045962870644246
18.33,1689.66,0.364,249.75,18330.0,0.2071158916040049,1.1020970157268084
18.35,1690.04,0.365,220.12,18350.0,0.20804207709320868,1.1036715310584548
18.37,1690.43,0.366,169.72,18370.0,0.20715903729957041,1.1021703634092697
18.39,1690.92,0.366,183.79,18390.0,0.20209922598629101,1.0935686841766947
18.41,1691.32,0.368,154.66,18410.0,0.19836305872773902,1.0872171998371563
18.43,1691.75,0.368,192.12,18430.0,0.1997823185867672,1.0896299415975044
18.45,1692.19,0.37,158.27,18450.0,0.205016265098101,1.0985276506667718
18.47,1692.67,0.37,216.0,18470.0,0.20588577102714462,1.100005810746146
18.49,1693.11,0.372,144.13,18490.0,0.20596747069675192,1.1001447001844782
18.51,1693.54,0.374,142.55,18510.0,0.2060071461567475,1.1002121484664706
18.53,1693.97,0.375,185.93,18530.0,0.19956841299283576,1.0892663020878208
